Team,xG,Goals,Home/Away,Game
Man City,2.91,6,Home,Man City 6-0 N Forest
N Forest,0.66,0,Away,Man City 6-0 N Forest
Leeds,1.07,1,Home,Leeds 1-1 Everton
Everton,0.81,1,Away,Leeds 1-1 Everton
Southampton,1.45,2,Home,Southampton 2-1 Chelsea
Chelsea,1.34,1,Away,Southampton 2-1 Chelsea
Fulham,0.79,2,Home,Fulham 2-1 Brighton
Brighton,1.79,1,Away,Fulham 2-1 Brighton
C Palace,0.65,1,Home,C Palace 1-1 Brentford
Brentford,1.42,1,Away,C Palace 1-1 Brentford
N Forest,0.90,0,Home,N Forest 0-2 Spurs
Spurs,2.57,2,Away,N Forest 0-2 Spurs
Wolves,0.86,1,Home,Wolves 1-1 Newcastle
Newcastle,1.73,1,Away,Wolves 1-1 Newcastle
Aston Villa,0.40,0,Home,Aston Villa 0-1 West Ham
West Ham,0.36,1,Away,Aston Villa 0-1 West Ham
Arsenal,2.52,2,Home,Arsenal 2-1 Fulham
Fulham,0.80,1,Away,Arsenal 2-1 Fulham
Salah,1.35,0,Home,Salah 0-9 His Teammates
His Teammates,2.46,9,Away,Salah 0-9 His Teammates
Haaland,1.36,3,Home,Haaland 3-2 C Palace
C Palace,0.20,2,Away,Haaland 3-2 C Palace
Brighton,1.88,1,Home,Brighton 1-0 Leeds
Leeds,1.54,0,Away,Brighton 1-0 Leeds
Man City,2.24,4,Home,Man City 4-2 C Palace
C Palace,0.20,2,Away,Man City 4-2 C Palace
Chelsea,1.58,2,Home,Chelsea 2-1 Leicester
Leicester,2.00,1,Away,Chelsea 2-1 Leicester
Brentford,2.59,1,Home,Brentford 1-1 Everton
Everton,1.41,1,Away,Brentford 1-1 Everton
Liverpool,3.81,9,Home,Liverpool 9-0 Bournemouth
Bournemouth,0.32,0,Away,Liverpool 9-0 Bournemouth
Southampton,1.37,0,Home,Southampton 0-1 Man Utd
Man Utd,1.33,1,Away,Southampton 0-1 Man Utd
Man Utd,1.60,2,Home,Man Utd 2-1 Liverpool
Liverpool,1.54,1,Away,Man Utd 2-1 Liverpool
Newcastle,2.30,3,Home,Newcastle 3-3 Man City
Man City,3.57,3,Away,Newcastle 3-3 Man City
Soccer,2.66,3,Home,Soccer 3-0 Football
Football,0.76,0,Away,Soccer 3-0 Football
West Ham,0.87,0,Home,West Ham 0-2 Brighton
Brighton,1.88,2,Away,West Ham 0-2 Brighton
Leeds,2.66,3,Home,Leeds 3-0 Chelsea
Chelsea,0.76,0,Away,Leeds 3-0 Chelsea
B’mouth,0.26,0,Home,B’mouth 0-3 Arsenal
Arsenal,1.70,3,Away,B’mouth 0-3 Arsenal
Everton,1.07,1,Home,Everton 1-1 N Forest
N Forest,1.02,1,Away,Everton 1-1 N Forest
C Palace,2.84,3,Home,C Palace 3-1 Aston Villa
Aston Villa,0.83,1,Away,C Palace 3-1 Aston Villa
Fulham,2.68,3,Home,Fulham 3-2 Brentford
Brentford,1.58,2,Away,Fulham 3-2 Brentford
Leicester,0.26,1,Home,Leicester 1-2 Southampton
Southampton,1.13,2,Away,Leicester 1-2 Southampton
Spurs,1.79,1,Home,Spurs 1-0 Wolves
Wolves,0.68,0,Away,Spurs 1-0 Wolves
Liverpool,2.05,1,Home,Liverpool 1-1 C Palace
